intencao,palavras,resposta
ajuda,"ajuda, help, menu, opcoes, opções, o que voce faz, o que você faz, como funciona, quais sao as opcoes, quais são as opções, nao sei, não sei, pode me ajudar, me ajuda, preciso de ajuda, o que posso perguntar, o que voce resolve, me explica, como usar, comandos, por onde comeco, por onde começo, inicio, início, suporte, atendimento, para que serve, me orienta","Ola! Sou o assistente virtual do setor Financeiro da FashionFlow. Posso te ajudar com: Pagamento, Desconto, Devolucao e Reembolso, Nota Fiscal, Boleto (2a via), Status do Pedido, Cancelamento, Frete, Imposto e CNPJ. E so me dizer o que precisa!"
saudacoes,"bom dia, boa tarde, boa noite, ola, olá, oi, opa, e aí, e ai, tudo bem, oi tudo bem, olá tudo bem, oie, oii, salve, fala, alô, alo, hey, aloha, bora, vamo lá, vamo la, olááá, olaa, opa tudo bem, oi boa tarde, bom dia tudo bem, boa noite tudo bem, ei, eae, eai, iae","Ola, tudo bem? Somos a FashionFlow! Voce esta conversando com o setor Financeiro. Como podemos te ajudar?"
pagamento,"pagamento, cartao, cartão, a vista, avista, pix, débito, debito, credito, crédito, forma de pagamento, como pagar, pagar, formas de pagamento, meio de pagamento, meios de pagamento, parcelado, parcelamento, installment, 12x, 10x, 6x, 3x, parcelar, boleto, transferência, transferencia, dinheiro, espécie, especie, à vista, aceita pix, aceita cartao, quero pagar, vou pagar, posso pagar, métodos de pagamento, metodos de pagamento","Nossas formas de pagamento sao pix, cartao debito/credito e boleto bancario."
desconto,"desconto, porcentagem, desconto percentual, desconto em reais, promoção, promocao, cupom de desconto, cupom promocional, código de desconto, codigo de desconto, cupom, coupon, redução, reducao, tabela de desconto, preço especial, preco especial, desconto progressivo, desconto quantidade, desconto por volume, desconto corporativo, desconto para cliente vip, desconto fidelidade, desconto inicial, primeira compra, aplicar desconto, usar desconto, tenho cupom, tenho código, tenho codigo, quanto de desconto, qual desconto, de quanto é o desconto, me dá desconto, me da desconto, consegue desconto, como funciona desconto, tabela de preços, tabela de precos, compra grande, pedido grande, volume alto, muito produto, bastante produto, lote grande, compra em quantidade, grande quantidade, atacado, desconto atacado, desconto lote, desconto pix, desconto a vista, desconto avista, pagando a vista, pagando no pix, pagar a vista tem desconto, tem desconto pix, desconto boleto, desconto transferencia, desconto para revenda","Vamos verificar se e possivel aplicar desconto para o seu pedido. Temos condicoes especiais para pagamento a vista via PIX ou transferencia, e tambem para compras em grande volume ou lote. Por favor, nos informe o produto ou lote de interesse, a quantidade aproximada e a forma de pagamento preferida. Voce sera encaminhado a um de nossos representantes para formalizar a proposta."
devolucao,"devolver, estorno, reembolso, reembolsar, devolução, devolvendo, devolveu, devolvidos, devolvida, voltar, trocando, trocar, troca, fazer devoluçao, fazer devolucao, quero devolver, preciso devolver, como devolver, devolvido, devolver roupa, devolver peça, devolvê-la, devolvê-lo, quero troca, politica de devolucao, política de devolução, nao gostei, não gostei, produto errado, veio errado, chegou errado, produto com defeito, com defeito, veio danificado, chegou danificado, posso devolver, aceita devolucao","Iremos reembolsar o seu valor no prazo de ate 3 dias uteis. Por favor, devolva a peca de roupa na nossa unidade mais proxima de voce. Precisa de mais alguma informacao sobre a devolucao?"
nota_fiscal,"nota, cupom fiscal, nf-e, nfe, nota fiscal, cupom, fiscal, nota-fiscal, nf, segunda nota, nova nota, emitir nota, reemitir nota, emissão de nota, emissao de nota, emissão, nota faltando, nota não chegou, nota nao chegou, onde está a nota, onde esta a nota, preciso da nota, requerer nota, solicitar nota, nota fiscal eletrônica, nfe eletrônica, nota eletrônica, nao recebi nota, não recebi a nota, nota fiscal do pedido, nota do pedido, nota de compra, comprovante fiscal, danfe, xml da nota","Precisamos de alguns dados do seu pedido para realizarmos a nova emissao do seu cupom fiscal! Por favor, envie: Nome Completo, CPF e ID do Pedido."
debito,"debito, divida, dever, negociar, regularizar, dívida, débito em aberto, deve, deve à empresa, pendência, pendente, pendências, em atraso, atrasado, atrasada, renegociar, renegociação, parcelar dívida, quitar, quitação, devo, deve dinheiro, pendência financeira, débito pendente, saldo devedor, saldo negativo, nome sujo, protestado, cobrança, cobrar, cobrança indevida, fatura em atraso, parcela atrasada, boleto em atraso, vencido, dívida vencida","Voce esta em debito com a nossa empresa? Se sim, confirma pra gente prosseguir com o seu atendimento e verificarmos as melhores condicoes de renegociacao para voce."
imposto,"imposto, renda, cnpj, impostos, ir, icms, pis, cofins, ipi, iss, inss, contribuição, contribuicao, fiscal, tributário, tributario, alíquota, aliquota, imposto sobre renda, imposto de renda, impostos municipais, impostos estaduais, impostos federais, retenção, retencao, recolhimento, recolhimentos, cálculo de imposto, calculo de imposto, declaração, declaracao, regime tributario, simples nacional, lucro presumido, lucro real, nfs-e, iss retido, ir retido, retencao na fonte","Certo! Para consultar impostos, preciso dos dados do: Seu CNPJ; Seu Nome; Nome Fantasia da Instituicao."
boleto,"boleto, segunda via, nova via, 2ª via, segunda copia, segunda cópia, cópia de boleto, copia de boleto, reimprimir boleto, reemitir boleto, boleto não chegou, boleto nao chegou, boleto extraviado, boleto perdido, gerar novo boleto, emitir boleto, código do boleto, codigo do boleto, numero do boleto, número do boleto, vencimento do boleto, boleto venceu, boleto vencido, boleto expirou, boleto expirado, atualizar boleto, renovar boleto, novo boleto, linha digitável, linha digitavel, código de barras, codigo de barras","Certo! Vamos prosseguir com o andamento da sua segunda via. Voce e PF ou PJ?"
status,"status, acompanhar, rastreamento, rastreador, rastrear, onde está, onde esta, pedido, meu pedido, situação, situacao, progresso, andamento, como está, como esta, já chegou, ja chegou, quando chega, chega quando, previsão, previsao, data de entrega, entregando, entregue, saiu pra entrega, saiu pra entregar, sai pra entrega, em transito, em trânsito, retirar, retirada, pronto pra retirada, já está pronto, ja esta pronto, está disponível, esta disponivel, em processamento, processando, aguardando, sendo preparado, em separação, em separacao, enviado, foi enviado, despachado, despacho, meu pedido sumiu, cadê meu pedido, cade meu pedido, numero do pedido, numero do pedido, id do pedido, pedido aprovado, pedido confirmado","Ok. Verificamos aqui e o status do seu pagamento e confirmado."
frete,"frete, calcular, cálculo de frete, calculo de frete, frete grátis, frete gratis, frete negociável, frete negociavel, valor do frete, quanto custa o frete, qual o frete, calcule o frete, quanto é o frete, quanto eh o frete, frete expresso, frete econômico, frete economico, frete agendado, frete sedex, frete pac, frete normal, frete rápido, frete rapido, frete urgente, cep, endereço, endereco, localidade, região, regiao, código postal, codigo postal, endereço de entrega, endereco de entrega, onde enviar, pra onde manda, entregar em, envio, enviar pra, mandar pra, entrega grátis, entrega gratis, tem frete gratis, frete cobrado, frete zerado, entrega expressa, motoboy, retirada no local","Vamos calcular o valor do seu frete. Nos diga o endereco e o CEP."
consulta,"consulta, orcamento, producao, orçamento, produção, cotação, cotacao, simulação, simulacao, solicitação, solicitacao, informações, informacoes, detalhes, especificações, especificacoes, lista de materiais, materiais, produtos, catálogo, catalogo, tabela de preços, tabela de precos, capacidade produtiva, capacidade de produção, capacidade de producao, pedido especial, pedido customizado, customização, customizacao, estoque, disponibilidade, disponibilidade em estoque, em estoque, fora de estoque, fora do estoque, quando tem, entra quando, previsão de produção, previsao de producao, prazos, prazo de entrega, prazo de produção, prazo de producao, quero cotar, quero orcar, fazer pedido, novo pedido, fazer cotacao, quero comprar, tenho interesse","Nos envie a lista de materiais e orcamento estimado, para verificarmos se ha disponibilidade de liberarmos o orcamento."
